Manufacturer,Avnet Americas,Avnet Asia,Newark,Farnell,Element 14,Silica,EBV,Abacus,Entity Count,Source Names
"HP, Inc.",X,,,,,,,,1,
HRS (Hirose),,,,X,X,,,,2,
Hubbell Wiring Device-Kellems,,,X,,,,,,1,
Hubbell Wiring Devices,,,,X,X,,,,2,
Huber & Suhner,,,,X,,,,,1,
Huber + Suhner,,,,,X,,,,1,
Huizhong Instrument,,X,,,,,,,1,
Hummel,,,,X,X,,,,2,
Hylec,,,,X,X,,,,2,
Hynix,,,,X,,,,,1,
IAC Industries,,,X,,,,,,1,
IBASE Technology (USA) Inc.,X,,,,,,,,1,
IBM,X,,,,,,,,1,
Ico-Rally,,,X,,,,,,1,
ICY DOCK,,,X,,,,,,1,
Ideal,,,X,,,,,,1,
Ideal Networks,,,,X,X,,,,2,
Ideal Power,,,,X,X,,,,2,
Ideal-Tek,,,X,X,X,,,,3,IDEAL-TEK
IDEC,,,X,X,X,,,,3,
IDT,,X,,,,,,,1,
IDT – A Renesas Company,,,X,,,,,,1,
IEI,,,,,,,,X,1,
IEI Integration,X,,,,,,,,1,
IET,,,X,,,,,,1,
II-VI (Finisar),X,,,,,,,,1,
II-VI | Coherent,,,,,,X,,,1,
Ikalogic,,,,X,X,,,,2,
iLive,,,X,,,,,,1,
Illinois Capacitor/Cornell Dubilier,,,X,,,,,,1,
ILME,,,,X,X,,,,2,
"ILS Technology, a Telit Company",X,,,,,,,,1,
ILSI,,,X,,,,,,1,
Imlec/Inter-Market,,,X,,,,,,1,
IMO,,,,X,,,,,1,
IMO Precision Controls,,,X,X,X,,,,3,
indie Semiconductor,X,,,,,,,,1,
Industrial Shields,,,,X,X,,,,2,INDUSTRIAL SHIELDS
Industrial Timer Company,,,X,,,,,,1,
Infineon,X,X,X,X,X,,X,,6,Infineon Technologies
Ingram Micro,X,,,,,,,,1,
Inland,,,X,,,,,,1,
Innocom,,X,,,,,,,1,
Innodisk,X,,,,,,,,1,
Innodisplay Solution,,,,,,,,X,1,
Innolux,X,,,,,,,X,2,
Innovista,,,X,,,,,,1,
iNRCORE,,,,,,,,X,1,
Insight SIP,,,,,,X,,,1,
INSTORESCREEN (Lenovo),X,,,,,,,,1,
Insulated Tools Ltd (ITL),,,,X,,,,,1,
Intel,X,,,X,X,,X,X,5,INTEL
Intel/Lantiq,X,,,,,,,,1,
Intelligent Horticultural Solutions,,,,X,,,,,1,
Intelligent LED Solutions,,,,X,X,,,,2,
Inteltronic,X,,,,,,,,1,
Intronics,,,X,,,,,,1,
InvenSense,,X,X,,,,,,2,Invensense
Inventek Systems,X,,,,,,,,1,
Inventronics,,,,,,X,X,,2,
Io Audio Technologies,,,X,,,,,,1,
Iogear,,,X,,,,,,1,
IoTecha,,,,,,,X,,1,
IQD Frequency Products,,,,X,X,,,,2,
IRC/TT Electronics,,,X,,,,,,1,
Irisys,,,,X,X,,,,2,
Iroda,,,X,X,X,,,,3,
Isocom,,,,X,X,,,,2,
ISORG,,X,,,,,,,1,
ISSI,X,X,,X,X,X,,,5,Integrated Silicon Solution (ISSI)
IST,,,,X,,,,X,2,
IST Innovative Sensor Technology,,,,,X,,,,1,
Italcoppie,,,,,,,,X,1,
itSoftware,X,,,,,,,,1,
ITT Cannon,,X,X,X,X,,,X,5,ITT Industries/Cannon
ITT Interconnect Solutions,X,,,,,,,,1,
ITW Chemtronics,,,X,,,,,,1,
ITW Mcmurdo,,,,X,X,,,,2,
ITW Switches,,,X,X,X,,,X,4,
ITW Tech Spray,,,X,,,,,,1,
IXYS Semiconductor,,,X,X,X,,,,3,IXYS
J.W. Miller/Bourns,,,X,,,,,,1,
Jabil Cutting Tools,,,,X,X,,,,2,
Jacob,,,,X,X,,,,2,
Jaeger,,,,X,X,,,,2,
"Japan Display, Inc. (JDI)",X,,,,,,,,1,
jb Capacitors,,,X,,,,,,1,
JBL Professional,,,X,,,,,,1,
JDI / KOE,,,,,,,,X,1,
JDI Taiwan Kaohsiung Branch (JDIT-K),X,,,,,,,,1,
JDI Technologies,,,X,,,,,,1,
Jetway Computer,X,,,,,,,,1,
Jiazhi Chemical,,X,,,,,,,1,
JJ Electronic,,,X,,,,,,1,
JKL Components,,,X,,,,,,1,
Johanson Dielectrics,,,X,,,,,,1,
Johanson Technology,,X,X,X,X,,,,4,Johanson
Johnson,,,X,X,X,,,,3,
Johnson Electric,,,X,,,,,,1,
Johnson Electric / Saia-Burgess,,,,X,X,,,,2,
Joinsoon Electronics,,X,,,,,,,1,
Jokari,,,,X,X,,,,2,JOKARI
Jonard Industries,,,X,,,,,,1,
JSC Wire & Cable,,,X,,,,,,1,
JST (Japan Solderless Terminals),,,X,X,X,,,,3,
Karson,,,,,,,,X,1,
KEIL (tools by Arm),,,X,X,,,,,2,Keil
Keithley,,,,X,X,,,,2,
Keithley Instruments,,,X,,,,,,1,
Keller,,,,,X,,,,1,
KEMET,X,X,X,X,X,,,X,6,Kemet
Kentec Display,,,X,,,,,,1,
Kester Solder,,,X,,,,,,1,
Keysight Technologies,X,,X,X,X,,,,4,
Keystone,,,X,X,X,,,,3,
Keyswitch,,,,X,X,,,,2,
Kingbright,,X,,X,X,,,X,4,
Kings / Winchester Interconnect,,,X,,,,,,1,
Kingstate,,,,X,X,,,X,3,
Kingston,X,X,X,,,X,,,4,Kingston Technology
KingTool,,,X,,,,,,1,
Kionix,,,X,X,X,,,,3,
Kioxia,X,X,,,,,X,,3,KIOXIA
Kitronik,,,X,X,X,,,,3,KITRONIK
Klein Tools,,,X,X,X,,,,3,
Knipex,,,X,X,X,,,,3,KNIPEX
knitter switch,X,,,X,X,,,X,4,Knitter-Switch
Koa,,X,,X,X,,,X,4,KOA
Kontron,X,,,,,,,X,2,
Kopex,,,,X,,,,,1,
KORE,X,,,,,,,,1,
KorenixUSA,,,X,,,,,,1,
Koss,,,X,,,,,,1,
Kroy® LLC,,,X,,,,,,1,
Kunbus,,,,X,X,,,,2,
Kvaser,,,X,X,,,,,2,
Kycon,,,,X,X,,,X,3,
Kyocera,,,,,,,,X,1,
Kyocera AVX,X,X,X,X,X,,,X,6,"AVX; AVX / Kyocera; AVX, KYOCERA AVX; AVX/Kyocera; KYOCERA AVX"
L-Com,,,X,X,,,,,2,L-COM
L.S. Starrett,,,X,,,,,,1,
Labfacility,,,X,X,X,,,,3,
Laird,,X,X,X,X,,,X,5,Laird Technologies
Lambda,,,X,,,,,,1,
Lanner,,,,,,,,X,1,
Lantiq,,X,,,,,,,1,
Lantronix,,,X,,,,,,1,
Lanzar,,,X,,,,,,1,
Lapp Group,,,X,,,,,,1,
Lapp Kabel,,,,X,X,,,,2,
Lascar Electronics,,,X,X,X,,,,3,Lascar
Lattice Semiconductor,,,X,X,X,,,,3,
Laurel Electronics Inc.,,,X,,,,,,1,
LCR Components,,,,X,X,,,,2,
Leadertech,,,X,,,,,,1,
Leatherman,,,X,,,,,,1,
Ledengin,,,,X,X,,,,2,
Ledexon Modulur,,,,X,,,,,1,
LEDiL,X,,X,X,X,X,,,5,LEDIL; Ledil
Legacy Electronics,X,,,,,,,,1,
Legrand/Wiremold,,,X,,,,,,1,
LEM,,,X,X,X,,,,3,
Lemo,,,,X,X,,,,2,
Lenovo,X,,,,,,,,1,
Leopard Imaging,X,,,,,,,,1,
Leshan Radio Company,,X,,,,,,,1,
LG Display,X,,,,,,,,1,
LG Displays,,,,,,,,X,1,
Lifud,,,,,,X,,,1,
Lightech,,,,X,,,,,1,
Lin Engineering,,,X,,,,,,1,
Lindstrom,,,,X,X,,,,2,LINDSTROM
Linemaster,,,X,,,,,,1,
Linksys,,,X,,,,,,1,
Lintest Systems,,,X,,,,,,1,
LISTA,,,X,,,,,,1,
LITE-ON Technology,X,X,,,,,,,2,Lite-On
Litemax,X,,,,,,,X,2,LITEMAX
Littelfuse,,,X,X,X,,,,3,
Loctite®,,,X,,,,,,1,
Logi,,,X,,,,,,1,
LOGIC Technologies,X,,,,,,,,1,
Logisys,,,X,,,,,,1,
Logitech,,,X,,,,,,1,
Logtag,,,X,,,,,,1,
Lorlin,,,,X,X,,,,2,
LPS,,,X,,,,,,1,
LS Research LLC,,X,,,,,,,1,
"LTW, an Amphenol co.",X,,,,,,,,1,
Lufkin,,,X,,,,,,1,
Lulzbot,,,X,,,,,,1,
Lumberg,,,,X,X,,,,2,
Lumberg Automation,,,X,X,X,,,,3,
Lumberg Connectors,,,X,,,,,,1,
Lumex,,,X,X,X,,,,3,
Lumileds,,X,X,X,X,X,,,5,Philips Lumileds
Luminus Devices,X,X,,,,,X,,3,Luminus
Lumissil (ISSI),X,,,,,X,X,,3,ISSI Lumissil; Lumissil Microsystems
Lutronic,,,X,,,,,,1,
LUXO Microscopes by Unitron,,,X,,,,,,1,
Lyontek,,,,X,X,,,,2,
M Jay,,,,X,X,,,,2,
Macroblock,,X,,,,,,,1,
Macromatic,,,X,,,,,,1,
Macronix,X,X,X,,,X,,,4,
Madison Cable,,,X,,,,,,1,
Magnet-Schultz,,,X,,,,,,1,
Majestic,,,X,,,,,,1,
MakerGear,,,X,,,,,,1,
"Mallory Sonalert® Products, Inc.",,,X,,,,,,1,
MAPS,,X,,,,,,,1,
Marathon Special Products,,,X,X,X,,,,3,Marathon® Special
Marl,,,X,X,X,,,,3,MARL
Marquardt,,,,X,X,,,,2,
Martin Smt,,,,X,X,,,,2,
Marvell,X,X,,,,X,,,3,
Mascot,,,,X,X,,,,2,
Master Appliance,,,X,,,,,,1,
MATHWORKS,,,,X,,,,,1,
MATRIX Labs,,,X,X,X,,,,3,MATRIX LABS; Matrix Labs
Matrox,X,,,,,,,,1,
Maxell,,,X,,,,,,1,
MaxLinear,X,,,,,X,,,2,Maxlinear
MaxLinear/Exar,,,,X,,,,,1,
Maxon Motor,,,,X,X,,,,2,
McAfee,X,,,,,,,,1,
Mckee Hagborg Connectors,,,,X,X,,,,2,McKee Hagborg Connectors
McLean,,,X,,,,,,1,
MCM Audio Select,,,X,,,,,,1,
MCM Custom Audio,,,X,,,,,,1,
McWong (now mwConnect),X,,,,,,,,1,
Mean Well,X,,,X,X,,,,3,MEAN WELL
MeanWell,,,X,,,,,,1,
Measurement Specialties,,X,,,,,,,1,
Measurement Specialties/ TE,,,X,,,,,,1,
Mechatronix,,,,,,X,,,1,
"Medium One, Inc",,X,,,,,,,1,
Mega Electronics,,,X,,,,,,1,
Megger,,,X,X,X,,,,3,Megger®
MegiQ,,,,X,X,,,,2,
Meilhaus,,,,X,X,,,,2,
Memsic,,X,,,,,,,1,
Menda,,,X,,,,,,1,
MENTOR,,,,,X,,,,1,
Mercury Systems,,,,,,X,,,1,
Mercury United,,,X,,,,,,1,
Mersen / Ferraz Shawmut,,,,X,X,,,,2,
Metcal,,,X,X,X,,,,3,
Metcase,,,,X,X,,,,2,
Methode,,,X,,,,,,1,
Metrix,,,,X,X,,,,2,
Metro Datavac/,,,X,,,,,,1,
Metropolitan Vacuum Cleaner,,,X,,,,,,1,
Metway Electrical Industries,,,,X,X,,,,2,
Metz Connect,,,X,X,X,,,,3,
MG Chemicals,,,X,X,X,,,,3,
MG Electronics,,,X,,,,,,1,
MH Connectors,,,X,X,X,,,,3,
Micrel,,,,X,,,,,1,
Micro Commercial Components,,,X,X,X,,,,3,Micro Commercial Components (MCC)
Micro Crystal,,,,X,X,,,X,3,
"Micro-Star International Co., Ltd",X,,,,,,,,1,
Microchip,X,X,X,X,X,X,X,,7,
Micron,X,X,X,X,X,X,X,,7,Micron/Numonyx
Microsoft,X,X,X,,,,,,3,
Micross Components,X,,,,,,,,1,
Microstack,,,X,,,,,,1,
Microtherm,,,,,X,,,,1,
Microtips Technology,X,,,,,,,X,2,
Midas Displays,,,X,,,,,,1,
Midlite Products,,,X,,,,,,1,
Midé Technology,X,,,,,,,,1,
Mier Products,,,X,,,,,,1,
MIKROE,X,,,,,,,,1,
MikroElektronika,,,X,X,X,,,,3,
Mildex,,,,,,,,X,1,
Mildex Optical,X,,,,,,,,1,
Mill Max,,,X,X,X,,,,3,Mill-Max
Miller,,,,X,X,,,,2,
Milwaukee Tool,,,X,,,,,,1,
MiroMico,,,,,,X,,,1,
MiTAC,X,,,,,,,,1,
Mitsubishi,,,X,X,X,,,,3,
Mitutoyo,,,X,,,,,,1,
MMB Networks,X,,,,,,,,1,
MMD Components,,X,X,,,,,,2,MMD
Mobiletek,,X,,,,,,,1,
Molex,X,X,X,X,,,,X,5,
Molykote,,,,X,X,,,,2,
Monacor,,,X,,,,,,1,
Monolithic Power Systems,X,X,X,X,X,X,,,6,Monolithic Power Systems (MPS)
Moons,,,,,,X,,,1,
MOONS' Industries America,X,,,,,,,,1,
Moto Mods,,,X,,,,,,1,
Motorola Two-Way Radio,,,X,,,,,,1,
Mountz,,,X,X,X,,,,3,MOUNTZ
MPE-Garry,,,,,,,,X,1,
MSi (Micro-Star International),X,,,,,,,X,2,MSI
MSI Rugged,,,,,,,,X,1,
Mueller Electric,,,X,X,X,,,,3,
Multicomp,,,X,X,X,,,,3,
Multicomp Pro,,,X,X,X,,,,3,
Multicore / Loctite,,,X,X,X,,,,3,Multicore/Loctite
Multimec,,,,X,X,,,,2,
Multimetrix,,,,X,X,,,,2,
MultiTech,X,,,,,,,,1,
Murata,X,X,X,X,X,,X,X,7,muRata
Murata Power Solutions,,,X,X,X,,,X,4,Murata Power; muRata Power Solutions
Muxlab,,,X,,,,,,1,
"mwConnect, a McWong co.",X,,,,,,,,1,
Myrra,,,,X,X,,,,2,
Nanov Display,X,,,,,,,,1,
NanoXplore,,,,,,,X,,1,
NATIONAL INSTRUMENTS,,,,X,,,,,1,
Navitas,X,,X,,,X,,,3,Navitas Semiconductor
NDK,,X,,,,,,,1,
Nebo,,,X,,,,,,1,
NEC,,,,X,X,,,,2,
NELSON-MILLER,,X,,,,,,,1,
Nephovision Technology,,X,,,,,,,1,
Neutrik,,,X,X,X,,,,3,
New Concept Tool,,,X,,,,,,1,
New Energy,X,,,,,,,,1,
Newer Technology,,,X,,,,,,1,
Newhaven Displays,X,,,,,,,,1,
NEX Computer,X,,,,,,,,1,
Nexans,,,,X,,,,,1,
"NEXCOM International Co., LTD.",X,,,,,,,,1,
Nexensos,,,,,,,,X,1,
Nexperia,X,X,X,X,X,X,X,,7,
NI,,,X,X,X,,,,3,NI (National Instruments)
NIC Components,X,X,X,,,,,X,4,NIC
Nichicon,,X,X,X,X,,,X,5,
Nicholson,,,X,,,,,,1,
Nidec Components,X,,,,X,,,X,3,Nidec
Nidec Copal,,,X,X,,,,,2,
Nidec-Shimpo,,,X,,,,,,1,
Ningbo Water Meter,,X,,,,,,,1,
Nippon Chemi-Con,,X,X,,,,,X,3,Chemi-Con; United Chemi-Con
Nisshinbo,X,,,,,,X,,2,
Nkk Switches,,,X,X,X,,,,3,NKK Switches
NMB,,,X,X,X,,,,3,NMB Technologies Inc.
Norcomp,,,X,X,X,,,,3,NorComp
Nordic Semiconductor,X,X,X,X,X,X,,,6,Nordic; NORDIC Semiconductor
Noritake Itron,,,X,,,,,,1,
Northwest Logic,,X,,,,,,,1,
Noshok,,,X,,,,,,1,
"Novasensor, an Amphenol co.",X,,,,,,,,1,
Nsf (Controls),,,,X,X,,,,2,
NTE Inc.,,,X,,,,,,1,
Nuventix,,X,,,,,,,1,
Nuvoton,,X,,,,,,,1,
NVE,,,X,X,X,,,,3,NVE Corporation
nVent (Schroff),,,,X,,,,,1,
nVent Hoffman,,,X,,,,,,1,
nVent Schroff,,,X,X,X,,,X,4,
NXP,X,X,X,X,X,X,X,X,8,NXP Semiconductors
Octavo Systems,X,,,,,X,,,2,
ODU USA,X,,X,,,,,,2,
OEP (Oxford Electrical Products),,,,X,X,,,,2,
Ohmite,,,,X,X,,,,2,
Ohmite / Davies Molding,,,,X,,,,,1,
OK Industries,,,X,,,,,,1,
OK International,,,X,,,,,,1,
OKW,,,,X,X,,,,2,
Olimex,,,,X,X,,,,2,OLIMEX
OMC,,,X,,,,,,1,
Omega,,,X,X,X,,,,3,
Omni Lighting Systems,,,X,,,,,,1,
OmniMount,,,X,,,,,,1,
OmniOn Power,X,,,,,,,X,2,
Omnitek,,X,,,,,,,1,
Omron,X,,X,X,X,,,X,5,OMRON; Omron Electronic Components
Omron Industrial Automation,,,X,X,X,,,,3,Omron Automation
OnBoard Security,,X,,,,,,,1,
One For All,,,X,,,,,,1,
One Stop Systems,X,,,,,,,,1,
onsemi,X,X,X,X,X,X,X,,7,Onsemi
ONYX Healthcare,X,,,,,,,,1,
OpenH.IO,,,X,,,,,,1,
Optek Technology,,,,X,X,,,,2,
Optek/TT Electronics,,,X,,,,,,1,
Optex,,,X,,,,,,1,
Opto 22,,,X,X,X,,,,3,OPTO 22
Orangecrab,,,,X,,,,,1,
Orient Components,,X,,,,,,,1,
Orion Fans,,,X,,,,,,1,
Orion-Knight,,,X,,,,,,1,
Oscium,,,X,,,,,,1,
OSEPP,,,X,,,,,,1,
Osram Opto Semiconductors,,,,X,,,,,1,
Osram Sylvania,,,X,,,,,,1,
OSSI,,,,X,,,,,1,
Otava,X,,,,,,,,1,
Otto Controls,,,,X,X,,,,2,
Pace,,,,,X,,,,1,
Pacel,,,,X,,,,,1,
Pacific Illumination,,,X,,,,,,1,
PacTec,,,X,,,,,,1,
Paladin Tools/ Connectool,,,X,,,,,,1,
Panasonic,X,X,X,X,X,X,,X,7,Panasonic Electric Works; Panasonic Electronic Components; Panasonic Industrial Devices; Panasonic®
Panavise,,,X,,,,,,1,
Panduit,X,,X,X,X,,,,4,
Panjit International,,X,,,,X,,,2,Panjit
Parade Technology,X,,,,,,,,1,
Parallax,,,X,X,X,,,,3,PARALLAX
Paramit,X,,,,,,,,1,
Particle,,,X,X,,,,,2,PARTICLE
Pass & Seymour,,,X,,,,,,1,
"PCD, an Amphenol co.",X,,,,,,,,1,
Peak,,,,X,X,,,,2,
Peerless-AV,X,,,,,,,,1,
Pelco (Trimax),,,,X,,,,,1,Pelco
Peltec,,,X,,,,,,1,
Penn Elcom,,,,X,X,,,,2,
Pentair,,X,,,,,,,1,
Pepperl+Fuchs,,,X,X,X,,,,3,Pepperl + Fuchs
Pericom Semiconductor,X,,,,,,,,1,
Perinet,,,X,,,,,,1,
Pervasive Displays INC.,,,,,,,,X,1,
Phoenix Contact,,,,X,X,,,X,3,
Phoenix Semiconductor,X,,,,,,,,1,
PHYTEC,X,,,,,,,,1,
PI-TOP,,,,X,,,,,1,
Pickering,,,X,,X,,,,2,
Pico Technology,,,,X,X,,,,2,
Piera Systems,,,X,X,,,,,2,Piera
"Piher Sensors and Controls, an Amphenol co.",X,,,,,,,,1,
Pimoroni,,,,X,X,,,,2,PIMORONI
Planar Systems,X,,,,,,,,1,
Plunify,,X,,,,,,,1,
PMK,,,,,X,,,,1,
PNY,X,,,,,,,,1,
Pomona,,,,X,X,,,,2,
Portasol,,,,X,X,,,,2,
Portwell,X,,,,,,,,1,
Positronic,,,X,,,,,,1,
Power Adhesives,,,,X,X,,,,2,
Power Integrations,X,X,,X,X,,X,,5,
Powerex,,,,X,X,,,,2,
Powertip Technology,X,,,,,,,X,2,Powertip
Preci-Dip,,,,X,X,,,X,3,PRECI-DIP
Prehkeytec,,,,X,X,,,,2,
Premier Magnetics,,,,,,,,X,1,
Pro Elec,,,,X,X,,,,2,
Pro Power,,,,X,X,,,,2,
Pro Signal,,,,X,X,,,,2,
Procell (Duracell),,,,,,,,X,1,
ProGrAnalog,X,,,,,,,,1,
PROMISE Technology,X,,,,,,,,1,
PUI Audio,X,X,,X,X,,,X,5,
Pulse Electronics,,X,X,X,X,,,X,5,Pulse
Pulse/Yageo,X,,,,,,,,1,
Pulser,,X,,,,,,,1,
Pyramid,,,X,,,,,,1,
QFX,,,X,,,,,,1,
Qinlon,,,,,,,,X,1,
Qlogic,,X,,,,,,,1,
Qorvo,X,X,X,,X,X,,,5,QORVO; RFMD
Quadrangle Products,X,,,,,,,,1,
Quail Electronics,,,X,,,,,,1,
Qualcomm RF360,X,,,,,X,,,2,Qualcomm-RF360
Qualtek,,,X,,,,,,1,
Quam-Nichols,,,X,,,,,,1,
Quanta Cloud Technology (QCT),X,,,,,,,,1,
Quantum Storage Systems,,,X,,,,,,1,
Quectel,X,X,,,,X,,,3,Quectel Wireless
Quick Soldering Products,,,X,,,,,,1,
QuickLogic,,X,,,,,,,1,
Radiall,X,,,X,X,,,,3,
Radio Design Labs,,,X,,,,,,1,
Radisys,X,,,,,,,,1,
RAF Electronic Hardware,,,X,,,,,,1,
Rafi,,,,X,X,,,,2,
Raise3D,,,X,,,,,,1,
Raltron,,,X,,,,,,1,
Ramtron,,,X,,,,,,1,
Raspberry Pi,,,X,X,X,,,,3,RASPBERRY-PI
Rawn,,,X,,,,,,1,
Rayovac,,,X,,,,,,1,
Rayprus,X,,,,,,,,1,
Raytac,,X,,,,X,,,2,
Raytech,,,,X,X,,,,2,
RCA,,,X,,,,,,1,
RCD (Resistors Coils Delaylines),,,X,,,,,,1,
RCL Display Limited,,,,,,,,X,1,
REAN,,,X,,,,,,1,
Recom,,,X,X,X,,,,3,RECOM Power
Red Lion,,,,X,X,,,,2,
Red Lion Controls,,,X,,,,,,1,
RedBearLab,,,X,,,,,,1,
Refond,,X,,,,,,,1,
RelaJet Tec,,X,,,,,,,1,
Releco,,,,X,X,,,,2,
Renesas,X,X,X,X,X,X,X,X,8,Renesas Electronics
Rennsteig,,,,X,X,,,,2,RENNSTEIG
RF Solutions,,,X,X,X,,,,3,RF SOLUTIONS
RF360,,X,,,,,,,1,
RFbeam,,,,,,,X,,1,
Rhino Products,,,X,,,,,,1,
Richco,,,,X,,,,,1,
Richtek,,,X,X,X,,,,3,
RICOH Electronic Devices,,X,,,,,,,1,
RIGOL,,,X,,,,,,1,
RIoT Board,,,X,,,,,,1,
Rip-Tie,,,X,,,,,,1,
Rittal,X,,,X,X,,,,3,
RMS,X,,,,,,,,1,
Robox®,,,X,,,,,,1,
Rochester Electronics,,X,,,,,,,1,
Rohde & Schwarz,,,X,X,X,,,,3,
ROHM,,X,X,X,X,X,,,5,Rohm; ROHM Semiconductor
Roline,,,,X,X,,,,2,
Ronning Research,X,,,,,,,,1,
Rose,,,X,X,X,,,,3,
Roxburgh,,,,X,X,,,,2,
Roxburgh EMC,,,,X,X,,,,2,
Roxspur / TT Electronics,,,X,,,,,,1,
Rozalex,,,,X,X,,,,2,
RPM-Tronics,X,,,,,,,,1,
RRC,,,,,,,,X,1,
Rubbermaid,,,X,,,,,,1,
Rubycon,,,X,X,X,,,,3,
Ruko,,,,X,X,,,,2,RUKO
Safety First Aid,,,,X,X,,,,2,
Safety Technology International,,,X,,,,,,1,
Safran,,,X,,,,,,1,
Safran Sensing Technologies,X,,,,,,,,1,
SAM Labs,,,X,,,,,,1,
Samlex America,,,X,,,,,,1,
Samsung,X,,,X,X,,X,X,5,Samsung Semiconductor (SSI)
Samsung Electro-Mechanics,X,,X,,,,,,2,
Samsung LED,,X,,,,,,,1,
Samtec,X,X,X,X,X,,,X,6,
Sandisk,,X,X,,,X,,,3,SanDisk Corporation
Sangean,,,X,,,,,,1,
Sanyo Denki,,,,X,X,,,,2,
SAPPHIRE Technology,X,,,,,,,,1,
Sargent,,,X,,,,,,1,
SCC,,X,,,,,,,1,
Schaffner,,X,X,X,X,,,X,5,
Schmartboard,,,X,,,,,,1,
Schneider Electric,X,,X,X,X,,,,4,Schneider
Schneider Electric/Legacy Relays,,,X,,,,,,1,
Schneider Electric/Square D,,,X,,,,,,1,
Schroff,,,X,,,,,,1,
Schurter,X,X,X,X,X,,,X,6,SCHURTER
Schutzinger,,,,X,X,,,,2,
ScioSense,,,,,,,X,,1,
SCS,,,X,,,,,,1,
Seagate,X,,X,,,,,,2,
Seco,X,,,,,,,,1,
SECO-LARM,,,X,,,,,,1,
Seeed Studio,,,X,X,X,,,,3,SEEED STUDIO
Sefram,,,,X,X,,,,2,
Segger,,,X,X,X,,,,3,
Seiko Instruments,,X,,,,,,,1,
Semelab,,,X,X,,,,,2,
Semflex,,,X,,,,,,1,
Semikron,,,X,X,X,,,,3,Semikron International
Semitech,,,,,,,X,,1,
Semtech,X,X,X,X,X,X,,,6,
Sensata,,,,X,,,,,1,
Sensata - Crydom,,,,X,X,,,,2,
Sensata Airpax,,,,X,,,,,1,
Sensata BEI,,,,X,,,,,1,
Sensata Cynergy3,,,,X,X,,,,2,Sensata/Cynergy3
Sensirion,X,,X,X,X,,,,4,
Sensitron Semiconductor,X,,,,,,,,1,
Sensor Solutions,,,X,X,,,,,2,
Sensorcon,,,X,,,,,,1,
Sensorcon by Molex,X,,,,,,,,1,
Seoul Semiconductor,X,X,,X,X,X,,,5,
Sequans,,,,,,,X,,1,
Sequans Communications,X,,,,,,,,1,
Serpac,,,X,,,,,,1,
Servisol,,,,X,X,,,,2,
SGMICRO,X,X,,,,,X,,3,
"SGX SensorTech, an Amphenol co.",X,,,,,,,,1,
Shanghai Power Bright,,X,,,,,,,1,
Sharp,X,X,X,X,X,X,,X,7,
Sharp NEC Display Solutions,X,,,,,,,,1,
"Shenzen Bak Technology Co., Ltd.",,,,,,,,X,1,
Shenzhen AV-Display Co.,X,,,,,,,,1,
Shenzhen Deren Electronic,,X,,,,,,,1,
Shenzhen Jinghua Displays,,,,,,,,X,1,
Shieldme,,,X,,,,,,1,
Shimpo Instruments,,,X,,,,,,1,
Showell Technology,,X,,,,,,,1,
SIBA,,,,,X,,,,1,
SICK,,,,X,X,,,,2,
Siemens,,,,X,X,,,,2,
Sifam Tinsley (STI),,,X,,,,,,1,
Silan Microelectronics,,X,,,,,,,1,
Silanna Semiconductor,X,,,,,,,,1,
Silergy,,X,,,,,,,1,
Silicon Labs,,,X,X,X,,,,3,Silicon Laboratories
Silicon Sensing Systems,,,,,X,,,,1,
Silvertel,,,,X,,,,,1,
Simco-Ion,,,X,,,,,,1,
SIMCom,X,X,,,,,X,,3,SIMcom Wireless; SIMCom Wireless Solutions
Simpson Electric Company,,,X,,,,,,1,
Simula,,X,,,,,,,1,
"Sine Systems, an Amphenol co.",X,,,,,,,,1,
Siretta,,,X,,,,,,1,
SiTime,X,X,,X,X,X,,,5,
Skross,,,,X,X,,,,2,
Skyworks,,X,,,X,,,,2,Skyworks Solutions
SL Power,,X,,X,,,,,2,
"SL Power, an Advanced Energy Co.",X,,,,,,,,1,
Sliger Designs,X,,,,,,,,1,
Smart Cable,,,X,,,,,,1,
SMART Embedded Computing,X,,,,,,,,1,
SMART Modular Technologies,X,,,,,X,,,2,Smart Modular Technologies
Smartec,,,X,X,X,,,,3,
Smarticase,,,X,X,X,,,,3,SMARTICASE
SMC,,,,X,X,,,,2,
SMSC,,X,,,,,,,1,
"Socapex, an Amphenol co.",X,,,,,,,,1,
SOCKiTBOX,,,X,,,,,,1,
Softec Microsystems,,,X,,,,,,1,
Sola-HD,,,X,,,,,,1,
"Solid State, Inc.",,,X,,,,,,1,
Solidigm,X,,,,,,,,1,
Song Chuan,X,,,,,,,,1,
Sorensen,,,,X,,,,,1,
Soshin,,X,,,,,,,1,
Souriau,,,X,X,,,,,2,
Souriau - Sunbank / Eaton,,,,,X,,,,1,
Space Age Electronics,,,X,,,,,,1,
Spacecraft Components,,,X,,,,,,1,
Spansion,,,X,,X,,,,2,
Sparkle Power,X,,,,,,,,1,
SPC Technology,,,X,,,,,,1,
Speco Technologies,,,X,,,,,,1,
"Spectra-Strip, an Amphenol co.",X,,,,,,,,1,
Spectrah,X,,,,,,,,1,
Spectronics/Spectroline,,,X,,,,,,1,
Spectrum Digital,,,X,,,,,,1,
Speed Tec,,X,,,,,,,1,
Spelsberg,,,,X,X,,,,2,
Spikenzie Labs,,,,X,X,,,,2,SPIKENZIE LABS
Sprint,X,,,,,,,,1,
